CLASS,DESCRIPTION,CODE,SYSTEM
immunization,meningococcal MCV4P,114,CVX
immunization,Td (adult)  5 Lf tetanus toxoid  preservative free  adsorbed,113,CVX
immunization,Hep B  adult,43,CVX
immunization,SARS-COV-2 (COVID-19) vaccine  mRNA  spike protein  LNP  preservative free  30 mcg/0.3mL dose,208,CVX
immunization,Hep A  adult,52,CVX
immunization,zoster vaccine  live,121,CVX
immunization,varicella,21,CVX
immunization,MMR,3,CVX
immunization,Hep A  ped/adol  2 dose,83,CVX
immunization,SARS-COV-2 (COVID-19) vaccine  mRNA  spike protein  LNP  preservative free  100 mcg/0.5mL dose,207,CVX
immunization,pneumococcal polysaccharide vaccine  23 valent,33,CVX
immunization,SARS-COV-2 (COVID-19) vaccine  vector non-replicating  recombinant spike protein-Ad26  preservative free  0.5 mL,212,CVX
immunization,meningococcal polysaccharide (groups A  C  Y and W-135) diphtheria toxoid conjugate vaccine (MCV4P),114,CVX
immunization,zoster vaccine recombinant,187,CVX
immunization,tetanus toxoid  reduced diphtheria toxoid  and acellular pertussis vaccine  adsorbed,115,CVX
immunization,pneumococcal conjugate vaccine  13 valent,133,CVX
medication,Acetaminophen 160 MG Chewable Tablet,313820,RXNORM
medication,Ibuprofen 200 MG Oral Tablet,310965,RXNORM
medication,Yaz 28 Day Pack,748856,RXNORM
medication,Natazia 28 Day Pack,978950,RXNORM
medication,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet,562251,RXNORM
medication,1 ML medroxyprogesterone acetate 150 MG/ML Injection,1000126,RXNORM
medication,Errin 28 Day Pack,831533,RXNORM
medication,Amoxicillin 250 MG Oral Capsule,308182,RXNORM
medication,Meperidine Hydrochloride 50 MG Oral Tablet,861467,RXNORM
medication,Camila 28 Day Pack,748962,RXNORM
medication,Acetaminophen 325 MG Oral Tablet,313782,RXNORM
medication,lisinopril 10 MG Oral Tablet,314076,RXNORM
medication,amLODIPine 2.5 MG Oral Tablet,308136,RXNORM
medication,Hydrochlorothiazide 25 MG Oral Tablet,310798,RXNORM
medication,Seasonique 91 Day Pack,749762,RXNORM
medication,5 ML hyaluronidase-oysk 2000 UNT/ML / trastuzumab 120 MG/ML Injection,2119714,RXNORM
medication,120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],895996,RXNORM
medication,albuterol 0.83 MG/ML Inhalation Solution,630208,RXNORM
medication,Penicillin V Potassium 500 MG Oral Tablet,834102,RXNORM
medication,Chlorpheniramine Maleate 2 MG/ML Oral Solution,477045,RXNORM
medication,Clopidogrel 75 MG Oral Tablet,309362,RXNORM
medication,Simvastatin 20 MG Oral Tablet,312961,RXNORM
medication,24 HR metoprolol succinate 100 MG Extended Release Oral Tablet,866412,RXNORM
medication,Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray,705129,RXNORM
medication,cefazolin 2000 MG Injection,1665060,RXNORM
medication,1 ML heparin sodium  porcine 5000 UNT/ML Injection,1659263,RXNORM
medication,25 ML protamine sulfate (USP) 10 MG/ML Injection,1796676,RXNORM
medication,2 ML Ondansetron 2 MG/ML Injection,1740467,RXNORM
medication,Midazolam 1 MG/ML Injectable Solution,311700,RXNORM
medication,100 ML Propofol 10 MG/ML Injection,1808217,RXNORM
medication,Rocuronium bromide 10 MG/ML Injectable Solution,1234995,RXNORM
medication,isoflurane 99.9 % Inhalation Solution,542347,RXNORM
medication,remifentanil 2 MG Injection,1729584,RXNORM
medication,Mirena 52 MG Intrauterine System,807283,RXNORM
medication,diphenhydrAMINE Hydrochloride 25 MG Oral Tablet,1049630,RXNORM
medication,ferrous sulfate 325 MG Oral Tablet,310325,RXNORM
medication,Naproxen sodium 220 MG Oral Tablet,849574,RXNORM
medication,Simvastatin 10 MG Oral Tablet,314231,RXNORM
medication,Hydrocortisone 10 MG/ML Topical Cream,106258,RXNORM
medication,Loratadine 10 MG Oral Tablet,311372,RXNORM
medication,NDA020800 0.3 ML Epinephrine 1 MG/ML Auto-Injector,1870230,RXNORM
medication,clonazePAM 0.25 MG Oral Tablet,204892,RXNORM
medication,Jolivette 28 Day Pack,757594,RXNORM
medication,Acetaminophen 300 MG / Hydrocodone Bitartrate 5 MG Oral Tablet,856987,RXNORM
medication,Leucovorin 100 MG Injection,1803932,RXNORM
medication,10 ML oxaliplatin 5 MG/ML Injection,1736776,RXNORM
medication,Acetaminophen 325 MG Oral Tablet [Tylenol],209387,RXNORM
medication,Cefuroxime 250 MG Oral Tablet,309097,RXNORM
medication,Amoxicillin 500 MG Oral Tablet,308192,RXNORM
medication,Ibuprofen 100 MG Oral Tablet,198405,RXNORM
medication,Liletta 52 MG Intrauterine System,1605257,RXNORM
medication,Etonogestrel 68 MG Drug Implant,389221,RXNORM
medication,NuvaRing 0.12/0.015 MG per 24HR 21 Day Vaginal System,1367439,RXNORM
medication,Ibuprofen 400 MG Oral Tablet [Ibu],206905,RXNORM
medication,insulin isophane  human 70 UNT/ML / insulin  regular  human 30 UNT/ML Injectable Suspension [Humulin],106892,RXNORM
medication,Nitrofurantoin 5 MG/ML Oral Suspension,311989,RXNORM
medication,Phenazopyridine hydrochloride 100 MG Oral Tablet,1094107,RXNORM
medication,atomoxetine 100 MG Oral Capsule,608139,RXNORM
medication,Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution,1043400,RXNORM
medication,1 ML Epoetin Alfa 4000 UNT/ML Injection [Epogen],205923,RXNORM
medication,168 HR Ethinyl Estradiol 0.00146 MG/HR / norelgestromin 0.00625 MG/HR Transdermal System,1534809,RXNORM
medication,1 ML tacrolimus 5 MG/ML Injection,108515,RXNORM
medication,24 HR tacrolimus 1 MG Extended Release Oral Tablet,1664463,RXNORM
medication,Naproxen 500 MG Oral Tablet,198014,RXNORM
medication,Methotrexate 2.5 MG Oral Tablet,105585,RXNORM
medication,insulin  regular  human 100 UNT/ML Injectable Solution,311034,RXNORM
medication,Acetaminophen 325 MG / Oxycodone Hydrochloride 10 MG Oral Tablet [Percocet],1049625,RXNORM
medication,Abuse-Deterrent 12 HR Oxycodone Hydrochloride 10 MG Extended Release Oral Tablet [Oxycontin],1049504,RXNORM
medication,24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet,860975,RXNORM
medication,Trinessa 28 Day Pack,751905,RXNORM
medication,Acetaminophen 325 MG / oxyCODONE Hydrochloride 5 MG Oral Tablet,1049221,RXNORM
medication,Levora 0.15/30 28 Day Pack,748879,RXNORM
medication,sevoflurane 1000 MG/ML Inhalation Solution,200243,RXNORM
medication,Fexofenadine hydrochloride 30 MG Oral Tablet,997488,RXNORM
medication,Kyleena 19.5 MG Intrauterine System,1856546,RXNORM
medication,12 HR Cefaclor 500 MG Extended Release Oral Tablet,309043,RXNORM
medication,Penicillin V Potassium 250 MG Oral Tablet,834061,RXNORM
medication,72 HR Fentanyl 0.025 MG/HR Transdermal System,245134,RXNORM
medication,tramadol hydrochloride 50 MG Oral Tablet,835603,RXNORM
medication,Loratadine 5 MG Chewable Tablet,665078,RXNORM
medication,Vitamin B12 5 MG/ML Injectable Solution,2001499,RXNORM
medication,0.4 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe,854235,RXNORM
medication,NDA020503 200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler,2123111,RXNORM
medication,Acetaminophen 500 MG Oral Tablet,198440,RXNORM
medication,1 ML Enoxaparin sodium 150 MG/ML Prefilled Syringe,854252,RXNORM
medication,120 ACTUAT fluticasone propionate 0.11 MG/ACTUAT Metered Dose Inhaler [Flovent],896001,RXNORM
medication,Alteplase 100 MG Injection,1804799,RXNORM
medication,Aspirin 81 MG Oral Tablet,243670,RXNORM
medication,24 HR metoprolol succinate 200 MG Extended Release Oral Tablet,866419,RXNORM
medication,atorvastatin 80 MG Oral Tablet,259255,RXNORM
medication,lisinopril 20 MG Oral Tablet,314077,RXNORM
medication,prasugrel 10 MG Oral Tablet,855812,RXNORM
medication,Levothyroxine Sodium 0.075 MG Oral Tablet,966222,RXNORM
medication,Astemizole 10 MG Oral Tablet,197378,RXNORM
medication,Alendronic acid 10 MG Oral Tablet,904419,RXNORM
medication,Furosemide 40 MG Oral Tablet,313988,RXNORM
medication,carvedilol 25 MG Oral Tablet,200033,RXNORM
medication,10 ML Furosemide 10 MG/ML Injection,1719286,RXNORM
medication,losartan potassium 50 MG Oral Tablet,979492,RXNORM
medication,NITROFURANTOIN  MACROCRYSTALS 50 MG Oral Capsule,311995,RXNORM
medication,Galantamine 4 MG Oral Tablet,310436,RXNORM
medication,24 HR Donepezil hydrochloride 10 MG / Memantine hydrochloride 28 MG Extended Release Oral Capsule,1599803,RXNORM
medication,Cisplatin 50 MG Injection,1736854,RXNORM
medication,PACLitaxel 100 MG Injection,583214,RXNORM
medication,nicotine 7 MG/Day 24HR Transdermal System,198031,RXNORM
medication,1 ML DOCEtaxel 20 MG/ML Injection,1860480,RXNORM
medication,0.25 ML Leuprolide Acetate 30 MG/ML Prefilled Syringe,752899,RXNORM
medication,24 HR metoprolol succinate 50 MG Extended Release Oral Tablet,866436,RXNORM
medication,atorvastatin 20 MG Oral Tablet,617310,RXNORM
medication,NDA021457 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [ProAir],745752,RXNORM
medication,Fexofenadine hydrochloride 60 MG Oral Tablet,997501,RXNORM
medication,doxycycline hyclate 100 MG,1649987,RXNORM
medication,Acetaminophen 325 MG / HYDROcodone Bitartrate 7.5 MG Oral Tablet,857005,RXNORM
medication,Acetaminophen 300 MG / Codeine Phosphate 15 MG Oral Tablet,993770,RXNORM
medication,budesonide 0.125 MG/ML Inhalation Suspension,349094,RXNORM
medication,Warfarin Sodium 5 MG Oral Tablet,855332,RXNORM
medication,Digoxin 0.125 MG Oral Tablet,197604,RXNORM
medication,verapamil hydrochloride 80 MG Oral Tablet,897685,RXNORM
medication,Insulin Lispro 100 UNT/ML Injectable Solution [Humalog],865098,RXNORM
medication,10 ML Fentanyl 0.05 MG/ML Injection,1735006,RXNORM
medication,metoprolol tartrate 50 MG Oral Tablet,866514,RXNORM
medication,atorvastatin 10 MG Oral Tablet,617312,RXNORM
medication,Allopurinol 100 MG Oral Tablet,197319,RXNORM
medication,aspirin 325 MG Oral Tablet,212033,RXNORM
medication,nitroglycerin 0.4 MG Sublingual Tablet,198039,RXNORM
medication,heparin sodium  porcine 100 UNT/ML Injectable Solution,1361048,RXNORM
medication,ticagrelor 90 MG Oral Tablet,1116635,RXNORM
medication,rosuvastatin calcium 10 MG Oral Tablet,859747,RXNORM
medication,hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet,636045,RXNORM
medication,Tacrine 10 MG Oral Capsule,313185,RXNORM
medication,Ortho Tri-Cyclen 28 Day Pack,749785,RXNORM
medication,Levonorgestrel 0.00354 MG/HR Drug Implant,1366343,RXNORM
medication,Norinyl 1+50 28 Day Pack,749882,RXNORM
medication,sacubitril 97 MG / valsartan 103 MG Oral Tablet,1656356,RXNORM
medication,Terfenadine 60 MG Oral Tablet,141918,RXNORM
medication,desflurane 1000 MG/ML Inhalation Solution,562366,RXNORM
medication,Ampicillin 100 MG/ML Injectable Solution,789980,RXNORM
medication,carbamazepine 20 MG/ML Oral Suspension [Tegretol],308971,RXNORM
medication,12 HR Hydrocodone Bitartrate 10 MG Extended Release Oral Capsule,1860491,RXNORM
medication,60 ACTUAT Fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler,896209,RXNORM
medication,albuterol 5 MG/ML Inhalation Solution,245314,RXNORM
medication,albuterol 0.21 MG/ML Inhalation Solution,351137,RXNORM
medication,10 ML Alfentanil 0.5 MG/ML Injection,1723208,RXNORM
medication,duloxetine 20 MG Delayed Release Oral Capsule,596926,RXNORM
medication,Milnacipran hydrochloride 100 MG Oral Tablet,833135,RXNORM
medication,cycloSPORINE  modified 100 MG Oral Capsule,241834,RXNORM
medication,pregabalin 100 MG Oral Capsule,483438,RXNORM
medication,Diazepam 5 MG Oral Tablet,197591,RXNORM
medication,Abuse-Deterrent 12 HR Oxycodone Hydrochloride 15 MG Extended Release Oral Tablet,1860154,RXNORM
medication,vancomycin 1000 MG Injection,1807513,RXNORM
medication,piperacillin 4000 MG / tazobactam 500 MG Injection,1659149,RXNORM
medication,4 ML Norepinephrine 1 MG/ML Injection,242969,RXNORM
medication,1 ML Vasopressin (USP) 20 UNT/ML Injection,2103182,RXNORM
medication,buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet,351266,RXNORM
medication,piperacillin 2000 MG / tazobactam 250 MG Injection,1659131,RXNORM
medication,150 ML vancomycin 5 MG/ML Injection,1807510,RXNORM
medication,enoxaparin sodium 100 MG/ML Injectable Solution,854255,RXNORM
medication,simvastatin 40 MG Oral Tablet,198211,RXNORM
medication,irbesartan 300 MG Oral Tablet,200096,RXNORM
medication,heparin sodium  porcine 1000 UNT/ML Injectable Solution,1361226,RXNORM
medication,aspirin 81 MG Oral Capsule,2563431,RXNORM
medication,FLUoxetine 20 MG Oral Capsule,310385,RXNORM
medication,Donepezil hydrochloride 10 MG Oral Tablet,997223,RXNORM
medication,Memantine hydrochloride 2 MG/ML Oral Solution,996740,RXNORM
medication,Etoposide 100 MG Injection,226719,RXNORM
medication,14 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler [Asmanex],746811,RXNORM
medication,5 ML SUFentanil 0.05 MG/ML Injection,1809104,RXNORM
medication,24 HR metoprolol succinate 25 MG Extended Release Oral Tablet,866427,RXNORM
medication,lisinopril 5 MG Oral Tablet,311354,RXNORM
medication,cetirizine hydrochloride 5 MG Oral Tablet,1014676,RXNORM
medication,Diazepam 5 MG/ML Injectable Solution,309845,RXNORM
medication,losartan potassium 25 MG Oral Tablet,979485,RXNORM
medication,carvedilol 12.5 MG Oral Tablet,200032,RXNORM
medication,hydrochlorothiazide 12.5 MG / losartan potassium 50 MG Oral Tablet,979468,RXNORM
medication,Azithromycin 250mg,212446,RXNORM
medication,predniSONE 5 MG Oral Tablet,312617,RXNORM
medication,Methylphenidate Hydrochloride 20 MG Oral Tablet,1091392,RXNORM
medication,NDA020983 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Ventolin],859088,RXNORM
medication,budesonide 0.25 MG/ML Inhalation Suspension,351109,RXNORM
medication,Azithromycin 250 MG Oral Capsule,141962,RXNORM
medication,clopidogrel 300 MG Oral Tablet,749196,RXNORM
medication,2 ML morphine sulfate 1 MG/ML Injection,1728805,RXNORM
medication,nebivolol 10 MG Oral Tablet [Bystolic],751616,RXNORM
medication,lisinopril 40 MG Oral Tablet,197884,RXNORM
medication,5 ML fulvestrant 50 MG/ML Prefilled Syringe,727762,RXNORM
medication,budesonide 0.125 MG/ML Inhalation Suspension [Pulmicort],616830,RXNORM
medication,bivalirudin 50 ML; 5 MG/ML Injection,1997015,RXNORM
medication,metoprolol tartrate 25 MG Oral Tablet,866924,RXNORM
medication,Sertraline 100 MG Oral Tablet,312938,RXNORM
medication,Acetaminophen/Hydrocodone,856980,RXNORM
medication,Sodium Chloride 9 MG/ML Injectable Solution,313002,RXNORM
medication,1 ML Morphine Sulfate 5 MG/ML Injection,1732136,RXNORM
medication,Naltrexone hydrochloride 50 MG Oral Tablet,1483744,RXNORM
medication,cetirizine hydrochloride 10 MG Oral Tablet,1014678,RXNORM
medication,ezetimibe 10 MG / simvastatin 40 MG Oral Tablet,476350,RXNORM
medication,Tamoxifen 10 MG Oral Tablet,198240,RXNORM
medication,albuterol 0.417 MG/ML Inhalation Solution,351136,RXNORM
medication,bisoprolol fumarate 5 MG Oral Tablet,854905,RXNORM
medication,losartan potassium 100 MG Oral Tablet,979480,RXNORM
medication,atenolol 50 MG Oral Tablet,197381,RXNORM
medication,rosuvastatin calcium 20 MG Oral Tablet,859751,RXNORM
medication,zidovudine 300 MG Oral Tablet,199663,RXNORM
medication,24 HR propranolol hydrochloride 80 MG Extended Release Oral Capsule,856569,RXNORM
medication,atorvastatin 40 MG Oral Tablet,617311,RXNORM
medication,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,197885,RXNORM
medication,24 HR tacrolimus 5 MG Extended Release Oral Capsule,1431987,RXNORM
medication,Penicillin G 375 MG/ML Injectable Solution,105078,RXNORM
medication,Benztropine mesylate 0.5 MG Oral Tablet,885219,RXNORM
medication,glycopyrrolate 1.5 MG Oral Tablet [Glycate],143975,RXNORM
medication,Dysport botulinum toxin A 300 UNT Injection,1789958,RXNORM
medication,Lorazepam 2 MG/ML Injectable Solution,238100,RXNORM
medication,Mestranol / Norethynodrel,235389,RXNORM
medication,bisoprolol fumarate 2.5 MG / hydrochlorothiazide 6.25 MG Oral Tablet,854916,RXNORM
medication,emtricitabine 200 MG / tenofovir disoproxil fumarate 300 MG Oral Tablet,476556,RXNORM
medication,ritonavir 100 MG Oral Capsule,317150,RXNORM
medication,fosamprenavir 700 MG Oral Tablet,402109,RXNORM
medication,darunavir 800 MG Oral Tablet,1359269,RXNORM
medication,remdesivir 100 MG Injection,2284960,RXNORM
medication,hydrochlorothiazide 25 MG / lisinopril 20 MG Oral Tablet,197887,RXNORM
medication,Donepezil hydrochloride 23 MG Oral Tablet,1100184,RXNORM
medication,24 HR propranolol hydrochloride 60 MG Extended Release Oral Capsule,856535,RXNORM
medication,rosuvastatin calcium 5 MG Oral Tablet,859424,RXNORM
medication,Estrostep Fe 28 Day Pack,1359133,RXNORM
medication,enalapril maleate 20 MG Oral Tablet,858810,RXNORM
medication,Clindamycin 300mg,284215,RXNORM
medication,hydrochlorothiazide 25 MG / losartan potassium 100 MG Oral Tablet,979471,RXNORM
medication,Breath-Actuated 120 ACTUAT beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler [Qvar],1998774,RXNORM
medication,ribociclib 200 MG Oral Tablet,1873983,RXNORM
medication,10 ML Doxorubicin Hydrochloride 2 MG/ML Injection,1790099,RXNORM
medication,lisinopril 2.5 MG Oral Tablet,311353,RXNORM
medication,3 ML liraglutide 6 MG/ML Pen Injector,897122,RXNORM
medication,canagliflozin 100 MG Oral Tablet,1373463,RXNORM
medication,100 ML tirofiban 0.05 MG/ML Injection,1737466,RXNORM
medication,hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet,197886,RXNORM
medication,valsartan 320 MG Oral Tablet,349200,RXNORM
medication,amlodipine 10 MG / benazepril hydrochloride 20 MG Oral Capsule,898342,RXNORM
medication,carvedilol 6.25 MG Oral Tablet,200031,RXNORM
medication,Pulmozyme (Dornase Alfa),205532,RXNORM
medication,Pancreatin 600 MG Oral Tablet,198767,RXNORM
medication,Vancomycin 50 MG/ML Injectable Solution,313572,RXNORM
medication,20 ML Ciprofloxacin 10 MG/ML Injection,1665227,RXNORM
medication,atazanavir 300 MG Oral Capsule,664741,RXNORM
medication,Chlorpheniramine Maleate 4 MG Oral Tablet,1363309,RXNORM
medication,100 ML eptifibatide 0.75 MG/ML Injection,200349,RXNORM
medication,atenolol 25 MG Oral Tablet,197380,RXNORM
medication,Colchicine 0.6 MG Oral Tablet,197541,RXNORM
medication,palbociclib 100 MG Oral Capsule,1601380,RXNORM
medication,simvastatin 5 MG Oral Tablet,312962,RXNORM
medication,enalapril maleate 10 MG Oral Tablet,858817,RXNORM
medication,quinapril 40 MG Oral Tablet,314203,RXNORM
medication,amlodipine 2.5 MG / benazepril hydrochloride 10 MG Oral Capsule,898350,RXNORM
medication,Cefaclor 250 MG Oral Capsule,309045,RXNORM
medication,100 ML Epirubicin Hydrochloride 2 MG/ML Injection,1732186,RXNORM
medication,pravastatin sodium 20 MG Oral Tablet,904467,RXNORM
medication,hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet,200285,RXNORM
medication,labetalol hydrochloride 200 MG Oral Tablet,896762,RXNORM
medication,24 HR metoprolol succinate 50 MG Extended Release Oral Tablet [Toprol],866438,RXNORM
medication,amlodipine 10 MG / benazepril hydrochloride 40 MG Oral Capsule,898346,RXNORM
medication,atenolol 100 MG Oral Tablet,197379,RXNORM
medication,bisoprolol fumarate 10 MG Oral Tablet,854901,RXNORM
medication,Doxycycline Monohydrate 50 MG Oral Tablet,1652673,RXNORM
medication,ramipril 10 MG Oral Capsule,261962,RXNORM
medication,propranolol hydrochloride 10 MG Oral Tablet,856448,RXNORM
medication,Verzenio 100 MG Oral Tablet,1946840,RXNORM
medication,30 ACTUAT fluticasone furoate 0.2 MG/ACTUAT Dry Powder Inhaler [Arnuity],1547672,RXNORM
medication,atorvastatin 40 MG Oral Tablet [Lipitor],617320,RXNORM
medication,zalcitabine 0.75 MG Oral Tablet,313760,RXNORM
medication,sulfamethoxazole 800 MG / trimethoprim 160 MG Oral Tablet,198335,RXNORM
medication,efavirenz 600 MG Oral Tablet,349477,RXNORM
medication,dolutegravir 50 MG Oral Tablet,1433873,RXNORM
medication,metoprolol tartrate 100 MG Oral Tablet,866511,RXNORM
medication,stavudine 40 MG Oral Capsule,313110,RXNORM
medication,lamivudine 300 MG Oral Tablet,349491,RXNORM
medication,nelfinavir 625 MG Oral Tablet,403978,RXNORM
medication,emtricitabine 200 MG Oral Capsule,403875,RXNORM
medication,tenofovir disoproxil fumarate 300 MG Oral Tablet,349251,RXNORM
medication,efavirenz 600 MG / emtricitabine 200 MG / tenofovir disoproxil fumarate 300 MG Oral Tablet,643066,RXNORM
medication,predniSONE 20 MG Oral Tablet,312615,RXNORM
medication,Cefdinir,200346,RXNORM
medication,pravastatin sodium 10 MG Oral Tablet,904458,RXNORM
medication,amlodipine 5 MG / benazepril hydrochloride 40 MG Oral Capsule,898359,RXNORM
medication,lamivudine 300 MG / tenofovir disoproxil fumarate 300 MG Oral Tablet,2003249,RXNORM
medication,letrozole 2.5 MG Oral Tablet,200064,RXNORM
medication,emtricitabine 200 MG / tenofovir alafenamide 25 MG Oral Table,1747691,RXNORM
medication,bictegravir 50 MG / emtricitabine 200 MG / tenofovir alafenamide 25 MG Oral Tablet,1999667,RXNORM
medication,120 ACTUAT fluticasone propionate 0.22 MG/ACTUAT Metered Dose Inhaler [Flovent],896006,RXNORM
medication,24 HR metoprolol succinate 25 MG Extended Release Oral Tablet [Toprol],866429,RXNORM
medication,quinapril 10 MG Oral Tablet,312748,RXNORM
medication,propranolol hydrochloride 40 MG Oral Tablet,856519,RXNORM
medication,valsartan 160 MG Oral Tablet,349201,RXNORM
medication,pravastatin sodium 40 MG Oral Tablet,904475,RXNORM
medication,amlodipine 5 MG / benazepril hydrochloride 20 MG Oral Capsule,898356,RXNORM
medication,reteplase 10 UNT Injection,763138,RXNORM
medication,benazepril hydrochloride 5 MG Oral Tablet,898723,RXNORM
medication,amlodipine 5 MG / benazepril hydrochloride 10 MG Oral Capsule,898353,RXNORM
medication,Doxycycline Monohydrate 100 MG Oral Tablet,1650142,RXNORM
medication,24 HR carvedilol phosphate 20 MG Extended Release Oral Capsule [Coreg],860518,RXNORM
medication,labetalol hydrochloride 300 MG Oral Tablet,896766,RXNORM
medication,cobicistat 150 MG / elvitegravir 150 MG / emtricitabine 200 MG / tenofovir disoproxil fumarate 300 MG Oral Tablet,1306292,RXNORM
medication,irbesartan 150 MG Oral Tablet,200095,RXNORM
medication,nebivolol 20 MG Oral Tablet [Bystolic],827075,RXNORM
medication,lovastatin 10 MG Oral Tablet,197903,RXNORM
medication,ramipril 2.5 MG Oral Capsule,198188,RXNORM
medication,120 ACTUAT mometasone furoate 0.1 MG/ACTUAT Metered Dose Inhaler [Asmanex],1536144,RXNORM
medication,Glycopyrrolate 1.5 MG Oral Tablet [Glycate],1437975,RXNORM
medication,hydrochlorothiazide 12.5 MG / losartan potassium 100 MG Oral Tablet,979464,RXNORM
medication,enalapril maleate 2.5 MG Oral Tablet,858804,RXNORM
medication,nebivolol 5 MG Oral Tablet [Bystolic],751623,RXNORM
medication,valsartan 80 MG Oral Tablet,349199,RXNORM
medication,lovastatin 40 MG Oral Tablet,197905,RXNORM
medication,1 ML denosumab 60 MG/ML Prefilled Syringe,993452,RXNORM
medication,lovastatin 20 MG Oral Tablet,197904,RXNORM
medication,Cyclophosphamide 1000 MG Injection,1734919,RXNORM
medication,methadone hydrochloride 10 MG Oral Tablet,864706,RXNORM
medication,atorvastatin 10 MG Oral Tablet [Lipitor],617314,RXNORM
medication,benazepril hydrochloride 10 MG Oral Tablet,898687,RXNORM
medication,Aztreonam 2000 MG Injection,1664986,RXNORM
medication,carvedilol 3.125 MG Oral Tablet,686924,RXNORM
medication,rosuvastatin calcium 40 MG Oral Tablet [Crestor],859421,RXNORM
medication,budesonide 0.5 MG/ML Inhalation Suspension,252559,RXNORM
medication,benazepril hydrochloride 20 MG Oral Tablet,898690,RXNORM
medication,120 ACTUAT budesonide 0.18 MG/ACTUAT Dry Powder Inhaler [Pulmicort],966524,RXNORM
medication,hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet,349353,RXNORM
medication,benazepril hydrochloride 40 MG Oral Tablet,898719,RXNORM
medication,propranolol hydrochloride 20 MG Oral Tablet,856457,RXNORM
medication,pitavastatin calcium 1 MG Oral Tablet [Livalo],861646,RXNORM
medication,chloroquine phosphate 500 MG Oral Tablet,1116758,RXNORM
medication,Lenzilumab 200 MG IV,999999,RXNORM
medication,Carboplatin 10 MG/ML Injectable Solution,597195,RXNORM
medication,pitavastatin calcium 4 MG Oral Tablet [Livalo],861654,RXNORM
medication,rosuvastatin calcium 40 MG Oral Tablet,859419,RXNORM
medication,Breath-Actuated 120 ACTUAT beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler [Qvar],1998772,RXNORM
medication,lisinopril 30 MG Oral Tablet,205326,RXNORM
medication,neratinib 40 MG Oral Tablet,1940648,RXNORM
medication,30 ACTUAT fluticasone furoate 0.1 MG/ACTUAT Dry Powder Inhaler [Arnuity],1547660,RXNORM
medication,NDA020503 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Proventil],746763,RXNORM
medication,exemestane 25 MG Oral Tablet,310261,RXNORM
medication,propranolol hydrochloride 60 MG Oral Tablet,856556,RXNORM
medication,simvastatin 80 MG Oral Tablet,200345,RXNORM
medication,lopinavir 200 MG / ritonavir 50 MG Oral Tablet,597730,RXNORM
medication,Kalydeco 150 MG Oral Tablet,1243052,RXNORM
medication,anastrozole 1 MG Oral Tablet,199224,RXNORM
medication,tenecteplase 50 MG Injection,313212,RXNORM
medication,sacubitril 24 MG / valsartan 26 MG Oral Tablet [Entresto],1656346,RXNORM
medication,raltegravir 400 MG Oral Tablet,744842,RXNORM
medication,didanosine 400 MG Delayed Release Oral Capsule,284988,RXNORM
medication,enalapril maleate 5 MG Oral Tablet,858813,RXNORM
medication,20 ML tocilizumab 20 MG/ML Injection,1657981,RXNORM
medication,Aviptadil Infusion,999999,RXNORM
medication,60 ACTUAT fluticasone propionate 0.05 MG/ACTUAT Dry Powder Inhaler [Flovent],896019,RXNORM
medication,hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet,200284,RXNORM
medication,bisoprolol fumarate 10 MG / hydrochlorothiazide 6.25 MG Oral Tablet,854908,RXNORM
medication,60 ACTUAT budesonide 0.09 MG/ACTUAT Dry Powder Inhaler [Pulmicort],966529,RXNORM
medication,rosuvastatin calcium 10 MG Oral Tablet [Crestor],859749,RXNORM
medication,saquinavir mesylate 500 MG Oral Tablet,859863,RXNORM
medication,metoprolol tartrate 50 MG Oral Tablet [Lopressor],866516,RXNORM
medication,0.3 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe,854228,RXNORM
medication,pravastatin sodium 80 MG Oral Tablet,904481,RXNORM
